Quarter,Time,Down,ToGo,Location,Detail,CHI,CLE,EPB,EPA
2,8:50,1,10,CLE 43,Baker Mayfield pass complete short right to Rashard Higgins for 7 yards (tackle by Alec Ogletree),3,3,1.800,2.200
2,8:15,2,3,CLE 50,Nick Chubb right guard for 13 yards (tackle by Christian Jones),3,3,2.200,3.120
2,7:26,1,10,CHI 37,Nick Chubb left end for -1 yards (tackle by Akiem Hicks),3,3,3.120,2.440
2,6:41,2,11,CHI 38,Baker Mayfield pass incomplete short left,3,3,2.440,1.750
2,6:32,3,11,CHI 38,Baker Mayfield sacked by Mario Edwards for -9 yards,3,3,1.750,0.130
2,5:45,4,20,CHI 47,Jamie Gillan punts 34 yards recovered by Caleb Johnson at CHI-19,3,3,0.130,-0.150
2,5:37,1,10,CHI 19,Justin Fields pass complete short right to Darnell Mooney for 9 yards (tackle by Greg Newsome),3,3,0.150,0.880
2,4:56,2,1,CHI 28,David Montgomery right guard for 6 yards (tackle by Myles Garrett),3,3,0.880,1.200
2,4:17,1,10,CHI 34,Justin Fields pass complete short left to Allen Robinson for 9 yards (tackle by Greg Newsome),3,3,1.200,1.870
2,3:51,2,1,CHI 43,Justin Fields pass incomplete short left intended for Darnell Mooney,3,3,1.870,1.160
2,3:48,3,1,CHI 43,Penalty on Germain Ifedi: False Start 4 yards (accepted) (no play),3,3,1.160,0.630
2,3:48,3,5,CHI 39,Justin Fields sacked by Myles Garrett for -1 yards,3,3,0.630,-0.850
2,3:06,4,6,CHI 38,Pat O'Donnell punts 52 yards returned by Demetric Felton for 11 yards (tackle by Khalil Herbert and Nsimba Webster). Penalty on M.J. Stewart: Offensive Illegal Block Above the Waist 10 yards (accepted),3,3,-0.850,0.370
2,2:54,1,10,CLE 11,Nick Chubb right tackle for 4 yards (tackle by Trevis Gipson),3,3,-0.370,-0.430
2,2:13,2,6,CLE 15,Nick Chubb left guard for 1 yard (tackle by Mario Edwards),3,3,-0.430,-0.840
2,2:00,3,5,CLE 16,Baker Mayfield pass complete deep right to Donovan Peoples-Jones for 18 yards,3,3,-0.840,1.200
2,1:53,1,10,CLE 34,Kareem Hunt left guard for 11 yards (tackle by Duke Shelley),3,3,1.200,1.930
2,1:29,1,10,CLE 45,Baker Mayfield pass complete short left to Kareem Hunt for 17 yards (tackle by Roquan Smith),3,3,1.930,3.050
2,1:02,1,10,CHI 38,Baker Mayfield pass complete short middle to Austin Hooper for 6 yards (tackle by Roquan Smith),3,3,3.050,3.320
2,0:55,2,4,CHI 32,Baker Mayfield pass complete short right to Kareem Hunt for 4 yards (tackle by DeAndre Houston-Carson and Roquan Smith),3,3,3.320,3.710
2,0:48,1,10,CHI 28,Baker Mayfield pass incomplete short right intended for Kareem Hunt (defended by Trevis Gipson),3,3,3.710,3.170
2,0:44,2,10,CHI 28,Baker Mayfield pass complete short right to Kareem Hunt for 9 yards (tackle by Angelo Blackson),3,3,3.170,3.720
2,0:36,3,1,CHI 19,Nick Chubb right guard for 6 yards (tackle by Deon Bush),3,3,3.720,4.710
2,0:25,1,10,CHI 13,Baker Mayfield spiked the ball,3,3,4.710,4.050
2,0:23,2,10,CHI 13,Baker Mayfield pass complete short middle to Austin Hooper for 13 yards touchdown,3,9,4.050,7.000
2,0:19,,,CHI 15,Chase McLaughlin kicks extra point good,3,10,0.000,0.000
2,0:19,,,CLE 35,Chase McLaughlin kicks off 64 yards returned by Khalil Herbert for 39 yards (tackle by Greedy Williams). Penalty on Jesse James: Offensive Illegal Block Above the Waist 15 yards (accepted),3,10,0.000,-0.380
2,0:12,1,10,CHI 10,David Montgomery left guard for 4 yards (tackle by Malik Jackson and Ronnie Harrison),3,10,-0.380,-0.460
3,15:00,,,CLE 35,Chase McLaughlin kicks off 65 yards touchback.,3,10,0.000,0.610
3,15:00,1,10,CHI 25,Justin Fields pass incomplete short middle intended for Cole Kmet,3,10,0.610,0.060
3,14:58,2,10,CHI 25,Justin Fields pass incomplete short middle intended for Darnell Mooney (defended by Malcolm Smith),3,10,0.060,-0.620
3,14:52,3,10,CHI 25,Justin Fields sacked by and Takkarist McKinley for -8 yards and Malik Jackson for -8 yards,3,10,-0.620,-2.320
3,14:12,4,18,CHI 17,Pat O'Donnell punts 50 yards returned by Demetric Felton for 23 yards (tackle by Caleb Johnson),3,10,-2.320,-2.650
3,13:58,1,10,CHI 44,Nick Chubb right tackle for no gain (tackle by Deon Bush and Kindle Vildor),3,10,2.650,2.110
3,13:14,2,10,CHI 44,Baker Mayfield scrambles up the middle for 3 yards (tackle by Deon Bush),3,10,2.110,1.820
3,12:29,3,7,CHI 41,Baker Mayfield pass complete deep right to Odell Beckham for 26 yards,3,10,1.820,4.580
3,11:54,1,10,CHI 15,Nick Chubb right guard for no gain (tackle by Akiem Hicks),3,10,4.580,3.950
3,11:20,2,10,CHI 15,Nick Chubb left guard for no gain (tackle by Roquan Smith and Eddie Jackson). Penalty on Joel Bitonio: Offensive Holding 10 yards (accepted) (no play),3,10,3.950,2.670
3,10:58,2,20,CHI 25,Baker Mayfield sacked by Khalil Mack for -10 yards,3,10,2.670,0.700
3,10:10,3,30,CHI 35,Baker Mayfield scrambles left end for 12 yards (tackle by DeAndre Houston-Carson),3,10,0.700,1.930
3,9:36,4,18,CHI 23,Chase McLaughlin 41 yard field goal good,3,13,1.930,3.000
